id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
1100,2020,北海道 札幌市,0,1973395,423277,31063
1202,2020,北海道 函館市,0,251084,41638,3314
1203,2020,北海道 小樽市,0,111299,15608,1061
1204,2020,北海道 旭川市,0,329306,56258,4144
1205,2020,北海道 室蘭市,0,82383,15058,886
1206,2020,北海道 釧路市,0,165077,28412,1493
1207,2020,北海道 帯広市,0,166536,33745,1659
1208,2020,北海道 北見市,0,115480,19940,1408
1209,2020,北海道 夕張市,0,7334,753,2
1210,2020,北海道 岩見沢市,0,79306,12651,176
1211,2020,北海道 網走市,0,35759,6886,364
1212,2020,北海道 留萌市,0,20114,3072,997
1213,2020,北海道 苫小牧市,0,170113,32409,2818
1214,2020,北海道 稚内市,0,33563,5902,134
1215,2020,北海道 美唄市,0,20413,2642,63
1216,2020,北海道 芦別市,0,12555,1467,10
1217,2020,北海道 江別市,0,121056,22714,1318
1218,2020,北海道 赤平市,0,9698,1118,146
1219,2020,北海道 紋別市,0,21215,3694,32
1220,2020,北海道 士別市,0,17858,2357,53
1221,2020,北海道 名寄市,0,27282,5584,285
1222,2020,北海道 三笠市,0,8040,1031,NA
1223,2020,北海道 根室市,0,24636,4298,222
1224,2020,北海道 千歳市,0,97950,24322,182
1225,2020,北海道 滝川市,0,39490,6637,513
1226,2020,北海道 砂川市,0,16486,2437,556
1227,2020,北海道 歌志内市,0,2989,297,3
1228,2020,北海道 深川市,0,20039,2699,59
1229,2020,北海道 富良野市,0,21131,3521,153
1230,2020,北海道 登別市,0,46391,7394,159
1231,2020,北海道 恵庭市,0,70331,14260,544
1233,2020,北海道 伊達市,0,32826,4814,38
1234,2020,北海道 北広島市,0,58171,9104,256
1235,2020,北海道 石狩市,0,56869,9149,1
1236,2020,北海道 北斗市,0,44302,7525,92
1303,2020,北海道 石狩振興局 当別町,0,15916,2682,202
1304,2020,北海道 石狩振興局 新篠津村,0,3044,446,11
1331,2020,北海道 渡島総合振興局 松前町,0,6260,641,6
1332,2020,北海道 渡島総合振興局 福島町,0,3794,429,4
1333,2020,北海道 渡島総合振興局 知内町,0,4167,683,1
1334,2020,北海道 渡島総合振興局 木古内町,0,3832,431,14
1337,2020,北海道 渡島総合振興局 七飯町,0,27686,4321,9
1343,2020,北海道 渡島総合振興局 鹿部町,0,3760,584,NA
1345,2020,北海道 渡島総合振興局 森町,0,14338,2162,39
1346,2020,北海道 渡島総合振興局 八雲町,0,15826,2644,197
1347,2020,北海道 渡島総合振興局 長万部町,0,5109,795,99
1361,2020,北海道 檜山振興局 江差町,0,7428,1180,43
1362,2020,北海道 檜山振興局 上ノ国町,0,4306,487,3
1363,2020,北海道 檜山振興局 厚沢部町,0,3592,438,NA
1364,2020,北海道 檜山振興局 乙部町,0,3403,404,NA
1367,2020,北海道 檜山振興局 奥尻町,0,2410,430,NA
1370,2020,北海道 檜山振興局 今金町,0,5072,670,NA
1371,2020,北海道 檜山振興局 せたな町,0,7398,901,6
