id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1397,北海道 後志総合振興局 留寿都村,0,2075,510,NA,1911,476,NA,-7.9036144578313205,-6.666666666666665
1398,北海道 後志総合振興局 喜茂別町,0,4085,1020,NA,2156,343,130,-47.221542227662184,-66.37254901960785
1399,北海道 後志総合振興局 京極町,0,4276,1056,NA,2941,419,84,-31.220767072029933,-60.3219696969697
1400,北海道 後志総合振興局 倶知安町,0,18893,6133,NA,15129,3399,361,-19.922722701529672,-44.57850970161422
1401,北海道 後志総合振興局 共和町,0,7931,1878,NA,5772,1063,23,-27.222292270835958,-43.397231096911604
1402,北海道 後志総合振興局 岩内町,0,22373,5809,NA,11648,1802,21,-47.93724578733295,-68.9791702530556
1403,北海道 後志総合振興局 泊村,0,2788,518,NA,1569,233,NA,-43.72309899569584,-55.01930501930502
1404,北海道 後志総合振興局 神恵内村,0,2014,454,NA,870,84,NA,-56.802383316782525,-81.4977973568282
1405,北海道 後志総合振興局 積丹町,0,4910,1051,NA,1831,183,1,-62.70875763747454,-82.58801141769743
1406,北海道 後志総合振興局 古平町,0,5901,1337,NA,2745,328,87,-53.48246059989832,-75.46746447270007
1407,北海道 後志総合振興局 仁木町,0,5467,1346,NA,3180,448,NA,-41.83281507225169,-66.71619613670134
1408,北海道 後志総合振興局 余市町,0,26632,7132,NA,18000,2586,53,-32.412135776509466,-63.74088614694335
1409,北海道 後志総合振興局 赤井川村,0,1485,331,NA,1165,240,NA,-21.54882154882155,-27.49244712990937
1423,北海道 空知総合振興局 南幌町,0,5444,1416,NA,7319,1072,14,34.44158706833211,-24.29378531073446
1424,北海道 空知総合振興局 奈井江町,0,8648,2317,NA,5120,659,2,-40.795559666975024,-71.55804920155373
1425,北海道 空知総合振興局 上砂川町,0,10790,2345,NA,2841,319,NA,-73.67006487488415,-86.39658848614073
1427,北海道 空知総合振興局 由仁町,0,9000,2184,NA,4822,597,53,-46.42222222222222,-72.66483516483517
1428,北海道 空知総合振興局 長沼町,0,13354,3557,NA,10289,1608,30,-22.951924516998655,-54.79336519538938
1429,北海道 空知総合振興局 栗山町,0,17482,4630,NA,11272,1574,25,-35.522251458643176,-66.00431965442765
1430,北海道 空知総合振興局 月形町,0,5427,1333,NA,3691,581,37,-31.988207112585222,-56.41410352588147
1431,北海道 空知総合振興局 浦臼町,0,3654,847,NA,1732,212,1,-52.59989053092502,-74.97048406139315
1432,北海道 空知総合振興局 新十津川町,0,9429,2273,NA,6484,876,NA,-31.23342878354014,-61.460624725033
1433,北海道 空知総合振興局 妹背牛町,0,6136,1518,NA,2693,310,NA,-56.11147327249022,-79.57839262187089
1434,北海道 空知総合振興局 秩父別町,0,4163,996,NA,2329,352,22,-44.054768196012496,-64.65863453815261
1436,北海道 空知総合振興局 雨竜町,0,4147,916,NA,2389,292,NA,-42.39209066795274,-68.12227074235808
1437,北海道 空知総合振興局 北竜町,0,3569,862,NA,1724,230,NA,-51.69515270383861,-73.31786542923435
1438,北海道 空知総合振興局 沼田町,0,6207,1501,NA,2909,382,NA,-53.133558885129695,-74.55029980013325
