id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
1100,1980,北海道 札幌市,1,691057,258176,NA
1202,1980,北海道 函館市,1,163875,50527,NA
1203,1980,北海道 小樽市,1,84981,24113,NA
1204,1980,北海道 旭川市,1,171435,56223,28
1205,1980,北海道 室蘭市,1,74347,23335,4
1206,1980,北海道 釧路市,1,111783,36573,NA
1207,1980,北海道 帯広市,1,75628,25735,NA
1208,1980,北海道 北見市,1,63316,20426,NA
1209,1980,北海道 夕張市,1,20715,4366,NA
1210,1980,北海道 岩見沢市,1,45781,13714,NA
1211,1980,北海道 網走市,1,22076,6980,NA
1212,1980,北海道 留萌市,1,17743,5290,NA
1213,1980,北海道 苫小牧市,1,76000,26875,8
1214,1980,北海道 稚内市,1,26397,8256,NA
1215,1980,北海道 美唄市,1,18883,4949,1
1216,1980,北海道 芦別市,1,16005,3597,NA
1217,1980,北海道 江別市,1,43301,14391,39
1218,1980,北海道 赤平市,1,12451,2938,NA
1219,1980,北海道 紋別市,1,16621,5027,NA
1220,1980,北海道 士別市,1,15518,3943,NA
1221,1980,北海道 名寄市,1,20982,6204,NA
1222,1980,北海道 三笠市,1,11280,2486,NA
1223,1980,北海道 根室市,1,21044,6363,NA
1224,1980,北海道 千歳市,1,35544,14232,27
1225,1980,北海道 滝川市,1,25075,7723,8
1226,1980,北海道 砂川市,1,12382,3434,NA
1227,1980,北海道 歌志内市,1,4863,993,NA
1228,1980,北海道 深川市,1,16917,4158,NA
1229,1980,北海道 富良野市,1,13780,3617,NA
1230,1980,北海道 登別市,1,27929,8121,20
1231,1980,北海道 恵庭市,1,22072,7604,NA
1233,1980,北海道 伊達市,1,17407,4778,NA
1234,1980,北海道 北広島市,1,16944,5330,19
1235,1980,北海道 石狩市,1,20035,6278,NA
1236,1980,北海道 北斗市,1,18970,5498,NA
1303,1980,北海道 石狩振興局 当別町,1,8725,2739,NA
1304,1980,北海道 石狩振興局 新篠津村,1,2048,541,NA
1331,1980,北海道 渡島総合振興局 松前町,1,8758,2352,NA
1332,1980,北海道 渡島総合振興局 福島町,1,5866,1651,NA
1333,1980,北海道 渡島総合振興局 知内町,1,3684,1128,NA
1334,1980,北海道 渡島総合振興局 木古内町,1,4530,1153,NA
1337,1980,北海道 渡島総合振興局 七飯町,1,9961,2716,NA
1343,1980,北海道 渡島総合振興局 鹿部町,1,2532,678,NA
1345,1980,北海道 渡島総合振興局 森町,1,11149,2985,NA
1346,1980,北海道 渡島総合振興局 八雲町,1,12941,3716,NA
1347,1980,北海道 渡島総合振興局 長万部町,1,5288,1281,NA
1361,1980,北海道 檜山振興局 江差町,1,6617,1855,NA
1362,1980,北海道 檜山振興局 上ノ国町,1,4239,966,NA
1363,1980,北海道 檜山振興局 厚沢部町,1,3338,788,NA
1364,1980,北海道 檜山振興局 乙部町,1,3361,816,NA
1367,1980,北海道 檜山振興局 奥尻町,1,2757,796,NA
1370,1980,北海道 檜山振興局 今金町,1,4552,1191,NA
1371,1980,北海道 檜山振興局 せたな町,1,7724,1851,NA
1391,1980,北海道 後志総合振興局 島牧村,1,1532,299,NA
1392,1980,北海道 後志総合振興局 寿都町,1,2860,662,NA
1393,1980,北海道 後志総合振興局 黒松内町,1,2160,469,NA
1394,1980,北海道 後志総合振興局 蘭越町,1,3893,894,NA
1395,1980,北海道 後志総合振興局 ニセコ町,1,2201,497,NA
1396,1980,北海道 後志総合振興局 真狩村,1,1562,407,NA
1397,1980,北海道 後志総合振興局 留寿都村,1,1020,254,NA
1398,1980,北海道 後志総合振興局 喜茂別町,1,1946,459,NA
1399,1980,北海道 後志総合振興局 京極町,1,2095,522,NA
1400,1980,北海道 後志総合振興局 倶知安町,1,9452,3053,NA
1401,1980,北海道 後志総合振興局 共和町,1,3867,898,NA
1402,1980,北海道 後志総合振興局 岩内町,1,10478,2591,NA
1403,1980,北海道 後志総合振興局 泊村,1,1278,248,NA
1404,1980,北海道 後志総合振興局 神恵内村,1,1027,261,NA
1405,1980,北海道 後志総合振興局 積丹町,1,2309,466,NA
1406,1980,北海道 後志総合振興局 古平町,1,2780,602,NA
1407,1980,北海道 後志総合振興局 仁木町,1,2695,645,NA
1408,1980,北海道 後志総合振興局 余市町,1,12746,3335,NA
1409,1980,北海道 後志総合振興局 赤井川村,1,732,156,NA
1423,1980,北海道 空知総合振興局 南幌町,1,2660,721,NA
1424,1980,北海道 空知総合振興局 奈井江町,1,4129,1100,NA
1425,1980,北海道 空知総合振興局 上砂川町,1,5294,1106,NA
1427,1980,北海道 空知総合振興局 由仁町,1,4316,1042,NA
1428,1980,北海道 空知総合振興局 長沼町,1,6608,1770,NA
1429,1980,北海道 空知総合振興局 栗山町,1,8398,2192,NA
1430,1980,北海道 空知総合振興局 月形町,1,2676,624,NA
1431,1980,北海道 空知総合振興局 浦臼町,1,1775,422,NA
1432,1980,北海道 空知総合振興局 新十津川町,1,4528,1039,NA
1433,1980,北海道 空知総合振興局 妹背牛町,1,2962,715,NA
1434,1980,北海道 空知総合振興局 秩父別町,1,2011,472,NA
1436,1980,北海道 空知総合振興局 雨竜町,1,1988,432,NA
1437,1980,北海道 空知総合振興局 北竜町,1,1746,396,NA
1438,1980,北海道 空知総合振興局 沼田町,1,3005,690,NA
1452,1980,北海道 上川総合振興局 鷹栖町,1,3684,902,NA
1453,1980,北海道 上川総合振興局 東神楽町,1,2663,719,NA
1454,1980,北海道 上川総合振興局 当麻町,1,4685,1127,NA
1455,1980,北海道 上川総合振興局 比布町,1,2821,685,NA
1456,1980,北海道 上川総合振興局 愛別町,1,2846,651,NA
1457,1980,北海道 上川総合振興局 上川町,1,4513,1157,NA
1458,1980,北海道 上川総合振興局 東川町,1,3764,970,NA
1459,1980,北海道 上川総合振興局 美瑛町,1,7165,1722,NA
1460,1980,北海道 上川総合振興局 上富良野町,1,7511,2480,NA
1461,1980,北海道 上川総合振興局 中富良野町,1,3423,831,NA
1462,1980,北海道 上川総合振興局 南富良野町,1,2266,535,NA
1463,1980,北海道 上川総合振興局 占冠村,1,850,190,NA
1464,1980,北海道 上川総合振興局 和寒町,1,3279,705,NA
1465,1980,北海道 上川総合振興局 剣淵町,1,2649,652,NA
1468,1980,北海道 上川総合振興局 下川町,1,3440,722,NA
1469,1980,北海道 上川総合振興局 美深町,1,4006,940,NA
1470,1980,北海道 上川総合振興局 音威子府村,1,1093,333,NA
1471,1980,北海道 上川総合振興局 中川町,1,1829,449,NA
1472,1980,北海道 上川総合振興局 幌加内町,1,1895,438,NA
1481,1980,北海道 留萌振興局 増毛町,1,3895,803,NA
1482,1980,北海道 留萌振興局 小平町,1,3130,664,NA
1483,1980,北海道 留萌振興局 苫前町,1,3198,666,NA
1484,1980,北海道 留萌振興局 羽幌町,1,6430,1578,NA
1485,1980,北海道 留萌振興局 初山別村,1,1174,264,NA
1486,1980,北海道 留萌振興局 遠別町,1,2657,622,NA
1487,1980,北海道 留萌振興局 天塩町,1,3260,950,NA
1511,1980,北海道 宗谷総合振興局 猿払村,1,1703,480,NA
1512,1980,北海道 宗谷総合振興局 浜頓別町,1,3210,998,NA
1513,1980,北海道 宗谷総合振興局 中頓別町,1,2066,511,NA
