id_muni2020,name_muni2020,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_age20_39
1403,北海道 後志総合振興局 泊村,1510,270,NA,785,92,NA,-65.92592592592592
1404,北海道 後志総合振興局 神恵内村,987,193,NA,470,32,NA,-83.41968911917098
1405,北海道 後志総合振興局 積丹町,2601,585,NA,976,85,NA,-85.47008547008546
1406,北海道 後志総合振興局 古平町,3121,735,NA,1438,172,42,-76.59863945578232
1407,北海道 後志総合振興局 仁木町,2772,701,NA,1654,220,NA,-68.61626248216834
1408,北海道 後志総合振興局 余市町,13886,3797,NA,9658,1265,21,-66.68422438767448
1409,北海道 後志総合振興局 赤井川村,753,175,NA,559,103,NA,-41.142857142857146
1423,北海道 空知総合振興局 南幌町,2784,695,NA,3858,544,8,-21.72661870503597
1424,北海道 空知総合振興局 奈井江町,4519,1217,NA,2715,313,NA,-74.28101889893179
1425,北海道 空知総合振興局 上砂川町,5496,1239,NA,1549,151,NA,-87.81275221953189
1427,北海道 空知総合振興局 由仁町,4684,1142,NA,2520,270,23,-76.35726795096322
1428,北海道 空知総合振興局 長沼町,6746,1787,NA,5370,750,10,-58.03021824286514
1429,北海道 空知総合振興局 栗山町,9084,2438,NA,6096,762,3,-68.74487284659557
1430,北海道 空知総合振興局 月形町,2751,709,NA,1506,196,14,-72.35543018335684
1431,北海道 空知総合振興局 浦臼町,1879,425,NA,887,84,NA,-80.23529411764706
1432,北海道 空知総合振興局 新十津川町,4901,1234,NA,3508,428,NA,-65.31604538087521
1433,北海道 空知総合振興局 妹背牛町,3174,803,NA,1403,131,NA,-83.68617683686178
1434,北海道 空知総合振興局 秩父別町,2152,524,NA,1257,173,9,-66.98473282442747
1436,北海道 空知総合振興局 雨竜町,2159,484,NA,1224,128,NA,-73.55371900826447
1437,北海道 空知総合振興局 北竜町,1823,466,NA,901,104,NA,-77.6824034334764
1438,北海道 空知総合振興局 沼田町,3202,811,NA,1517,171,NA,-78.91491985203453
1452,北海道 上川総合振興局 鷹栖町,3825,1011,NA,3462,424,NA,-58.061325420375866
1453,北海道 上川総合振興局 東神楽町,2762,780,NA,5425,849,4,8.846153846153836
1454,北海道 上川総合振興局 当麻町,4934,1249,NA,3407,417,NA,-66.61329063250601
1455,北海道 上川総合振興局 比布町,2985,780,NA,1858,222,NA,-71.53846153846153
1456,北海道 上川総合振興局 愛別町,2969,741,NA,1390,173,NA,-76.6531713900135
1457,北海道 上川総合振興局 上川町,4789,1280,NA,1792,239,NA,-81.328125
1458,北海道 上川総合振興局 東川町,4010,1080,NA,4437,765,1,-29.166666666666664
1459,北海道 上川総合振興局 美瑛町,7661,2005,NA,5173,721,NA,-64.03990024937656
1460,北海道 上川総合振興局 上富良野町,6930,2101,NA,4985,792,33,-62.30366492146597
1461,北海道 上川総合振興局 中富良野町,3616,932,NA,2473,338,NA,-63.73390557939914
1462,北海道 上川総合振興局 南富良野町,2264,545,NA,1148,197,NA,-63.853211009174316
1463,北海道 上川総合振興局 占冠村,751,184,NA,653,188,21,2.1739130434782705
1464,北海道 上川総合振興局 和寒町,3417,856,NA,1695,185,NA,-78.38785046728972
1465,北海道 上川総合振興局 剣淵町,2832,705,NA,1501,180,NA,-74.46808510638299
1468,北海道 上川総合振興局 下川町,3733,926,NA,1635,199,20,-78.50971922246221
1469,北海道 上川総合振興局 美深町,4344,1095,NA,2107,246,NA,-77.53424657534246
1470,北海道 上川総合振興局 音威子府村,1007,291,NA,341,45,14,-84.5360824742268
1471,北海道 上川総合振興局 中川町,1730,454,NA,723,83,13,-81.71806167400881
1472,北海道 上川総合振興局 幌加内町,1845,442,NA,689,85,NA,-80.76923076923077
1481,北海道 留萌振興局 増毛町,4424,993,NA,2132,277,NA,-72.10473313192347
1482,北海道 留萌振興局 小平町,3344,780,NA,1563,230,NA,-70.51282051282051
1483,北海道 留萌振興局 苫前町,3330,741,NA,1508,197,1,-73.41430499325237
1484,北海道 留萌振興局 羽幌町,6824,1847,NA,3385,381,NA,-79.37195452084461
1485,北海道 留萌振興局 初山別村,1270,284,NA,562,77,NA,-72.88732394366197
1486,北海道 留萌振興局 遠別町,2718,664,NA,1298,172,NA,-74.09638554216868
1487,北海道 留萌振興局 天塩町,3021,778,NA,1472,203,2,-73.90745501285348
1511,北海道 宗谷総合振興局 猿払村,1655,452,NA,1326,329,2,-27.212389380530976
1512,北海道 宗谷総合振興局 浜頓別町,3293,1007,NA,1773,261,NA,-74.08142999006951
1513,北海道 宗谷総合振興局 中頓別町,2137,576,NA,819,95,NA,-83.50694444444444
1514,北海道 宗谷総合振興局 枝幸町,6875,1960,NA,3965,587,1,-70.05102040816327
1516,北海道 宗谷総合振興局 豊富町,3385,951,NA,1876,293,20,-69.19032597266035
